master_customer_id,first_name,last_name,email,phone,gender,date_of_birth,city,country,registration_date,loyalty_tier,marketing_opt_in
C000001,Daphne,Kamp,daphne89@example.com,(003)-6495449,Female,1963-01-29,Dwingeloo,Germany,2026-07-19,Silver,No
C000002,Milan,Mathol,haacknathan@example.com,(0264) 648128,Male,1957-01-15,Zijderveld,Belgium,2025-04-14,Gold,No
C000003,Roos,Dorsman,evelienaarden@example.com,0839-356516,Male,1966-04-15,Winterswijk Woold,France,2024-09-07,Platinum,Yes
C000004,Adriana,Estey,muhammed62@example.com,+31(0)56 3863670,Female,1975-12-18,Veendam,France,2024-03-07,Bronze,No
C000005,Jason,Reijers,nadine93@example.net,+31(0)931-090033,Female,1981-11-14,Hoenderloo,Belgium,2024-04-03,Platinum,No
C000006,Evelien,Perkins,dverheij@example.com,0285-865012,Male,1960-02-04,Broek in Waterland,Germany,2026-05-22,Bronze,Yes
C000007,Valerie,van Straaten,kaarts@example.com,+31693-275028,Male,1963-12-16,Eefde,Belgium,2024-06-06,Gold,Yes
C000008,Ayoub,de Man,ecrinoversteeg@example.net,(027)-0301202,Female,1985-11-28,Ingelum,Netherlands,2024-07-22,Silver,No
C000009,Kyara,Geldens,smithannah@example.org,0800 412244,Male,1957-03-16,Escharen,Netherlands,2026-05-26,Platinum,No
C000010,Noah,Ansems,kvan-nus@example.com,(0817) 813110,Female,1982-08-03,Kiel-Windeweer,France,2024-01-10,Platinum,No
C000011,Dani,Hemma van Allemanië,marediesbergen@example.org,(018)-5915657,Female,1995-05-29,Wolphaartsdijk,Netherlands,2026-03-26,Silver,Yes
C000012,Jade,van Wijk,tessa73@example.com,+31(0)99-7159201,Male,1991-03-15,Kapel-Avezaath,Netherlands,2025-10-22,Gold,Yes
C000013,Aylin,Heijmans,van-bunschotenimke@example.net,+31(0)029 344619,Male,1964-11-05,Biervliet,France,2025-04-02,Gold,Yes
C000014,Floris,van Baalen,wesley63@example.org,+31(0)245-320028,Female,1945-12-28,Mook,Germany,2024-06-18,Bronze,Yes
C000015,Luke,de Hoog,janssenluuk@example.org,+31816-669145,Male,1967-11-05,Tinallinge,France,2026-06-08,Silver,No
