mobile_customer_id,fname,lname,email_address,mobile_number,city,country,signup_date
MB000001,Luka,van der Pluijm,hendricksmara@example.org,+31(0)95 8929387,Holtum,Netherlands,2025-12-18
MB000002,Puck,Bruggeman,janadriaense@example.org,+31(0)67 3691263,Westbeemster,Germany,2026-01-17
MB000003,Ella,Cant,eline07@example.net,+31(0)751-378609,Eesterga,Germany,2026-02-03
MB000004,Mats,Lieshout,vigovan-breukeleveen@example.net,+31(0)21 1846570,Andijk,Netherlands,2026-07-08
MB000005,Anna,Weerdenburg,evan-t-riet@example.com,(0727) 944075,Heukelom,Germany,2024-10-13
MB000006,Amelia,Schakelaar,philip58@example.org,(051)-5216875,Asten,Netherlands,2025-07-25
MB000007,Noor,Schelvis,nweijland@example.org,043 2524264,Koudekerk aan den Rijn,Germany,2025-03-06
MB000008,Annemijn,Lonen,marceronvalentijn@example.org,+3177-9180077,Pietersbierum,France,2025-05-17
MB000009,Dina,Verheij,lotvan-noort@example.com,+31(0)47-4529785,Eenrum,France,2025-09-02
MB000010,Norah,Schuurmans,van-enschotjolijn@example.com,+31(0)705 338004,Leons,Netherlands,2026-03-01
MB000011,Raf,Govarts,eversluka@example.org,(050) 4267835,de Wijk,Belgium,2025-05-07
MB000012,Jade,Leene,qvan-saksen@example.com,+31(0)91-1074335,Maurik,Netherlands,2024-04-25
MB000013,Jorn,de Vries,suuspieters-van-der-maes@example.net,(0445) 394005,Kwadijk,Netherlands,2025-08-06
MB000014,Sienna,Verwoert,vera64@example.com,(098) 8987827,Tijnje,Netherlands,2025-09-16
MB000015,Isis,Rijcken,stella35@example.net,+31039-158370,Zutphen,France,2024-04-12
MB000016,Maaike,van den Berg,stef17@example.org,(0461) 166063,Winschoten,Germany,2025-11-12
MB000017,Yassin,van Hulten,livde-heer@example.com,+31126-194700,IJsselham,France,2025-09-21
MB000018,Lucas,van Haspengouw Hesbaye,riley86@example.com,0430-062183,Steensel,Belgium,2023-11-20
MB000019,Rik,de Kok,madelief27@example.net,0904-876857,Raamsdonk,Belgium,2024-08-27
MB000020,Maryam,Verbeeck,charonesmee@example.net,+31(0)161-367313,Haps,Netherlands,2024-10-31
MB000021,Johanna,van Munster,abel19@example.com,0473 292021,Onderdendam,France,2026-07-22
MB000022,Naud,Verheuvel,de-keijzerjake@example.net,+31764-140054,Roosteren,Germany,2026-06-21
MB000023,Danique,Cant,,+31338 474603,Elsendorp,Belgium,2025-10-05
MB000024,Frederique,van der Veen,kayverschuere@example.org,+31(0)49-2821009,'s-Gravenzande,Germany,2025-05-13
MB000025,Boaz,de Heer,jde-groot@example.com,074 5347741,Ter Apel,Belgium,2023-10-04
MB000026,Julius,van Vlaanderen,tijsminer@example.org,004-0027387,Friens,Germany,2024-01-22
MB000027,Gijs,Cadefau,vde-reede@example.com,+31(0)52 1471269,Wijnbergen,Belgium,2025-08-28
