store_customer_id,full_name,phone,city
ST000001,Jan van Geest,+3148-5456348,Den Ham
ST000002,Fenne Simonis,+31(0)13 5056439,Heeten
ST000003,Micha Stuivenberg,(030)-7485131,Nijhuizum
ST000004,Tessa Estey,+31(0)434 967426,De Goorn
ST000005,Collin Govarts,+31(0)642-379436,Vijfhuizen
ST000006,Yassin Ansems,+31943 637177,Hobrede
ST000007,phileine heinrichs,(047) 4657099,Babberich
ST000008,  Thijn Stettyn  ,(0075)-308356,Alteveer
ST000009,Laurens van Olst,030 3492539,Hooglanderveen
ST000010,Jesse van Brenen,054 2901085,Beuningen Gld
ST000011,Milan Melet,(0293) 824855,Sellingen
ST000012,Lize Heere,+31(0)811 169392,Westzaan
ST000013,Amira Bruynzeels,+3181 3525172,Neerlangel
ST000014,Muhammed Dachgelt,+31507-178609,Zweins
ST000015,Vigo Sarneel,0629 312123,Oudorp
ST000016,Luna de Marduras,+31(0)23-7918710,Ees
ST000017,Nisa Bouthoorn,+31725 058488,Merkelbeek
ST000018,  LIEKE BORMAN  ,(0449) 442431,Uitgeest
ST000019,Senn Brizee,+31(0)38 8370086,Boksum
ST000020,Julian Fredriks,+31826-664542,Wormer
ST000021,Amira van Breukelveen,+31(0)302-443876,Ruurlo
ST000022,Isa Bijlsma,0820-669388,Biddinghuizen
ST000023,Phileine Ariens Ansems,+31330 626549,Stad aan 't Haringvliet
ST000024,Milo van Ham,0199 432400,Gasteren
ST000025,Xavi Rijcken,(0319) 907535,Valburg
ST000026,Michael Erhout,066 0053137,Westmaas
ST000027,Dina Werdes,(032)-1683929,Maasland
ST000028,Ninthe Dekker,(0583) 682412,Sint-Maartensdijk
ST000029,Mette Smith,+31(0)375-634545,Bunnik
ST000030,Mirte Steenbeek,+3195-4374010,Ell
ST000031,Anouk Becht,034 3646028,Hoogerheide
ST000032,Merel Luitgardis van Neustrië,(079)-2298137,Leiderdorp
ST000033,Ali van Enschot,+31(0)93 1783945,Bruinehaar
ST000034,Chloë van Liendert,+31460-880771,Willemstad
ST000035,Amelia de Bruin,+31(0)212-298605,Lomm
ST000036,Mustafa Roosenboom,+3111 4966265,Heenvliet
ST000037,Anouk Leguit,+3172 7000423,Midsland
ST000038,Fay van 't Houteveen,(0593) 777315,Slochteren
ST000039,Zoey Becht,+31(0)619 429583,Heukelum
ST000040,Rens Lucas,+31(0)74 9520957,Moerdijk
ST000041,Lily Ansems,(0621)-087850,Gouderak
ST000042,Morris Schatteleijn,050-5267680,Nieuw-Roden
ST000043,Nout Wouters van Eijndhoven,(0350) 091548,Herbaijum
ST000044,Bart Adryaens,(0210)-959484,Rogat
ST000045,Hugo van Straaten,(021) 4977574,Wedde
ST000046,Angelina van der Spaendonc,+31(0)34-0571505,Elp
ST000047,Bas Vergeer,+3199-3664738,Driebruggen
ST000048,Luc Claesdr,(0129)-637146,West-Terschelling
ST000049,Amina Vierdag,+31(0)059-776235,Heijen
ST000050,Liz Weijland,(054)-6303406,Den Bommel
ST000051,Nora van Suinvorde,+31581 880179,Benneveld
ST000052,Mark Dubois,+31(0)09-2052720,Hoogersmilde
ST000053,Dylano Brizee,(001) 5643705,Jonkerslân
ST000054,Silke de Vroege,+3163-0090729,Vroomshoop
ST000055,Twan Waltrade Walderade,033-0232884,Hei- en Boeicop
ST000056,Dani de Wit,+31(0)96-4791755,Ophemert
ST000057,Dani Ellis,+31(0)930-207939,Oosterwijk
ST000058,Inaya van Hoevel en van Zwindrecht,+31093 361190,Geesbrug
ST000059,Jesper le Guellec,(014)-1503175,Oudehaske
ST000060,Thom Jurrijens,+31958 197624,Hellouw
ST000061,Kyan Stange,+3196-1148068,Wetering
ST000062,Silke Otto,+31(0)989-762155,Sauwerd
ST000063,Lola van Eck,+31302 691312,Oudeschip
ST000064,Olivia van Oudewater,073-5452684,Budel
ST000065,Noor van Susa,+31(0)898 832370,Tonden
ST000066,Noud Teunissen,(098) 6751359,Klazienaveen
ST000067,gIJS VAN DER vEN,+31(0)70 8805881,Hempens
ST000068,Jolijn van Loon,0162-726922,Meteren
ST000069,Roan Wolzak,+3132 2584523,Krommenie
ST000070,Mike Bouwhuisen,+31126 681638,Radio Kootwijk
ST000071,  Joris van den Hoek  ,+31(0)410-988255,Overschild
ST000072,Fleur Miltenburg,082 1001753,Kwintsheul
ST000073,Demi Koster,+31(0)69 1014433,Budel-Schoot
ST000074,Kiki de Werd,(049) 5961019,Bovenkarspel
ST000075,Samuel van Tuijl,0740-494501,Kring van Dorth
ST000076,Carlijn van Stralen,+31911 571701,Vlagtwedde
ST000077,Tara Eijkelboom,+31569-929632,Stellendam
ST000078,Chloë Labado,(0288) 596416,Tholen
ST000079,Dylano van Drenthe,036-8666433,Broek
ST000080,Chloë Jonkman,037-2034594,Maasbommel
ST000081,Linn Dorsman,+31(0)91-0821890,Wier
ST000082,Damian Moensendijk,+3128 5504081,Ellertshaar
ST000083,Lise van Cuijck,088-0264101,Beneden-Leeuwen
ST000084,Sil Jdotte,,Twello
ST000085,Selina Vervoort,+3190 9810295,Zierikzee
ST000086,Josephine Hekker,+31864-916913,Bruinehaar
ST000087,Fay Ellis,+31(0)90-1867619,Borgercompagnie
ST000088,Bas van Susa,+3100-1799250,Oude-Tonge
ST000089,Joshua Rek,+31(0)202-668861,Hellouw
ST000090,Alyssa Huisman,0046-064526,Best
ST000091,Sarah Bruynzeels,0748 313913,Havelte
ST000092,Guusje Rehorst,+31(0)49-6426328,Warmond
ST000093,Duuk Ramaker,0339-551156,Heukelom
