customer_id,first_name,last_name,email,phone,city,country,registration_date,marketing_opt_in
WC000001,Fay,Otto,thijn94@example.org,(024)-3254198,Achtmaal,Belgium,2024-06-01,Yes
WC000002,Koen,Meis,joeyhoogers@example.net,043-1402327,Neerijnen,Germany,2025-02-05,Yes
WC000003,Isa,Mansvelt,lois95@example.net,068 2615699,Sellingen,Belgium,2024-02-14,No
WC000004,Lisanne,Kolen,puk59@example.org,(028) 6192770,Molkwerum,France,2023-10-07,Yes
WC000005,Ali,Evers,jinthe91@example.com,+31(0)097 882653,Haghorst,Belgium,2025-04-24,Yes
WC000006,Mohamed,van der Maath,van-ghoerlemette@example.com,(035)-4074399,Stad aan 't Haringvliet,France,2024-06-11,No
WC000007,Lieke,van Leeuwen,billungzakaria@example.com,+31882 012303,Liempde,Belgium,2024-04-29,Yes
WC000008,Sienna,le Briel,daan64@example.org,0640 486746,Finsterwolde,Germany,2026-05-22,No
WC000009,Nathan,Kwaadland,kaylee82@example.com,+3123-9723486,Eagum,France,2025-07-22,No
WC000010,Marit,Verheij,pslagmolen@example.com,(076)-4005722,Loosdrecht,France,2024-04-22,Yes
WC000011,Maartje,Stettyn,lunaserra@example.com,(0215)-139782,Beerzerveld,Belgium,2024-11-24,No
WC000012,Maurits,VI,beau13@example.org,+31(0)53-4551399,Oosternieland,France,2024-07-24,Yes
WC000013,Rik,Post,manneesmee@example.net,+31(0)219-141809,Harmelen,France,2025-01-28,Yes
WC000014,Laura,Dubois,nde-boer@example.org,+31(0)83 9583317,Nieuwerkerk,Netherlands,2025-02-11,No
WC000015,Lara,van Bentheim,noa03@example.net,(0459) 567409,Wolvega,Belgium,2024-02-18,No
WC000016,Felix,Huijben,van-den-veldesenna@example.org,0710 976368,Elst Ut,Netherlands,2025-09-22,No
WC000017,Nadia,de Werd,hvos@example.org,+31421 903104,Helden,Germany,2024-10-19,Yes
WC000018,Ali,Nieuwstraten,hollanderryan@example.com,0722-348181,Kootwijkerbroek,Netherlands,2023-08-26,No
WC000019,David,Berends,van-bovenejohannes@example.org,+31(0)872 629801,Steenenkamer,Germany,2025-04-22,No
WC000020,Norah,Lamotte,matshemma-van-allemanie@example.net,+31(0)85-2993844,Sevenum,Germany,2024-12-01,Yes
WC000021,Mohammed,Diesbergen,kim53@example.com,0511-511621,Herwen,France,2023-12-03,Yes
WC000022,Kate,van Dijk,yvan-dommelen@example.com,(009)-6233985,Maarsbergen,Belgium,2024-04-17,Yes
WC000023,Olivier,Brumleve,joel00@example.com,070-0018430,Wouw,France,2025-01-18,No
WC000024,Quinn,van Boven,alyssastamrood@example.net,016-7626901,Margraten,Netherlands,2024-10-17,No
WC000025,Feline,van Embden,van-der-spaendoncjoost@example.com,+31672-901093,Odoornerveen,France,2024-02-25,No
WC000026,  Annabel  ,Le Grand,gellemeyerayden@example.org,+31(0)033-311816,Lutjewinkel,Belgium,2023-11-03,Yes
WC000027,Tim,van Laarhoven,qvan-der-pluijm@example.net,+31(0)493 905970,Wirdum Gn,Germany,2024-05-25,No
WC000028,Daniel,Vink,svan-enschot@example.com,095-1292245,Slappeterp,France,2024-07-13,No
WC000029,Joost,Jacobs,rlathrope@example.net,+31306-947145,Heerjansdam,France,2026-04-24,Yes
WC000030,Hanna,Slagmolen,aydenmulder@example.org,(038) 7977769,Zieuwent,Germany,2024-04-09,Yes
WC000031,Lina,Huberts,wjanssens@example.com,014-5698267,Westknollendam,Germany,2024-08-11,Yes
WC000032,Bart,van den Pol,kimvan-den-eerenbeemt@example.org,+31328-214983,Schuinesloot,Belgium,2026-04-21,Yes
WC000033,Louise,Kalman,zneuzerling@example.org,0003 976644,Keijenborg,Germany,2023-11-15,No
WC000034,Amira,van Beek,cornelissenesmee@example.com,(015)-2674062,Wijk bij Duurstede,Germany,2024-04-09,Yes
WC000035,Nikki,Lorreijn,sepp59@example.org,0012-172588,Beutenaken,Netherlands,2024-02-18,Yes
WC000036,Naud,Vial,maarten44@example.net,(0331) 101296,Elspeet,Belgium,2025-06-08,Yes
WC000037,Liv,Hekker,neuteboomlisa@example.org,090 4984483,Gameren,Belgium,2025-02-05,No
WC000038,David,Schuurmans,ecrin58@example.org,+31297-825535,Folsgare,France,2025-09-21,Yes
WC000039,Valentijn,van der Kint,ivan-poppel@example.net,+31687 960390,Houtigehage,Germany,2025-02-14,No
WC000040,Jip,Rouwhorst,hofmanjurre@example.org,+3121 8806308,Halle,Germany,2024-05-15,No
WC000041,Kian,Maaswinkel,cboudewijns@example.net,+3137 9350375,Wetering,France,2024-10-22,No
WC000042,James,Nedermeijer,tielemanschris@example.com,(0088)-285813,De Wilp,Netherlands,2025-08-11,No
WC000043,Twan,Woutersz,sennalieshout@example.com,+31242-679988,Smakt,Germany,2025-05-26,Yes
WC000044,Stef,van Voorst,alicia96@example.net,+31690 293349,De Cocksdorp,Germany,2023-12-09,Yes
WC000045,Fay,Boetet,beratvan-boven@example.com,0092-082907,Nieuwland,Belgium,2025-10-01,No
WC000046,Kate,Karels,scardinoxavi@example.com,0385 202351,Lichtenvoorde,Belgium,2026-02-24,Yes
WC000047,Jurre,van Mispelen,sophievink@example.org,(069)-5406022,Eerbeek,Belgium,2025-12-17,Yes
WC000048,Noah,Prins,nadine80@example.org,0623-667626,Echteld,Netherlands,2025-12-24,Yes
